#{"t_start": 1764568891.142064, "env_id": "EmergencyHighwayEnv-v0"}
r,l,t
7.560625,10,1.720213
10.267702,14,3.444115
28.376906,40,8.250614
4.783969,6,8.977061
5.827141,7,9.821237
4.378157,5,10.435858
18.229277,25,13.540261
7.767935,10,14.78848
14.242391,19,17.16701
4.372449,5,17.794468
2.790516,3,18.166532
4.076261,5,18.808467
9.278767,12,20.312672
12.077108,17,22.482555
9.723591,13,24.062979
9.408836,12,25.539825
3.595995,4,26.074177
5.77859,7,27.092568
8.931762,12,28.728169
4.234465,5,29.361417
5.208924,6,30.12527
5.703341,7,31.012448
4.81528,6,31.762391
2.840665,3,32.133922
5.506147,7,33.019566
5.72639,7,33.8896
7.059442,9,35.016609
5.560686,7,35.897135
7.474752,9,37.024536
20.40578,28,40.504547
4.702094,6,41.25615
14.275005,19,43.656644
4.261399,5,44.2955
4.702102,6,45.048749
26.968862,38,49.798845
5.912292,7,50.685685
28.205683,37,55.423692
5.567778,7,56.309351
10.551443,14,58.086507
11.008138,15,59.977555
15.919595,21,62.542452
3.604843,4,63.050964
4.36879,5,63.677354
3.407115,4,64.185962
21.771745,30,67.970144
4.339137,5,68.600112
5.106782,6,69.360617
14.926095,21,72.007218
2.099261,2,72.26824
4.761217,6,73.015277
3.461557,4,73.518866
2.099775,2,73.776853
2.840665,3,74.155221
2.790512,3,74.539507
9.00181,12,76.031451
25.116102,35,80.445303
27.147753,40,85.490007
17.896647,23,88.389802
15.978194,21,90.977742
4.216185,5,91.618015
2.108664,2,91.870358
7.286499,9,93.010288
11.138379,15,94.886521
7.332121,9,96.012462
7.436106,9,97.141671
3.649962,4,97.649086
3.50488,4,98.148221
5.103473,6,98.897902
11.050701,14,100.635248
4.212734,5,101.268776
8.185837,10,102.530965
13.632337,18,104.794896
12.517489,16,106.822419
3.396736,4,107.331832
13.336185,18,109.622078
21.966406,30,113.269665
2.816955,3,113.647048
2.774257,3,114.022932
4.065295,5,114.641814
9.727343,13,116.259747
11.543959,16,118.42759
9.100809,12,119.988585
4.290286,5,120.633292
4.275685,5,121.27275
21.914823,30,125.01808
5.996473,7,125.947951
2.118613,2,126.205695
3.350672,4,126.71419
12.919079,17,128.918341
2.74629,3,129.31021
6.505847,8,130.311749
7.041621,9,131.437448
6.434356,8,132.427379
9.264339,12,133.898729
11.882044,16,135.863185
6.683514,9,136.99074
7.231538,9,138.116983
14.40921,20,140.644972
5.156182,6,141.417334
5.141893,6,142.185601
7.068684,9,143.312963
2.772734,3,143.697733
7.457609,9,144.815269
2.809022,3,145.195376
4.035428,5,145.829314
8.154792,10,147.095883
2.871058,3,147.482891
4.368569,5,148.12005
9.613601,13,149.742141
4.927059,6,150.498493
2.84102,3,150.874955
9.590432,12,152.354851
4.097003,5,152.977334
4.444076,5,153.593921
7.556866,9,154.706683
2.777778,3,155.074852
11.769214,15,156.921386
5.99376,7,157.784529
5.7637,7,158.665707
10.449899,14,160.419012
8.456106,11,161.754544
2.772734,3,162.128745
7.876381,10,163.355748
10.092373,13,164.967226
7.378529,9,166.07946
3.714637,4,166.573598
2.143861,2,166.82349
9.096586,12,168.305748
8.706539,12,169.786239
7.4931,9,170.888928
2.790516,3,171.25935
3.649062,4,171.751894
2.884884,3,172.132387
3.496683,4,172.630903
8.136295,11,174.021493
10.312454,14,175.762524
13.001185,18,178.025593
21.69267,30,181.945282
7.803876,10,183.20607
6.513374,8,184.212026
4.188336,5,184.858269
8.987421,11,186.244532
6.000929,7,187.127034
9.710301,13,188.786873
2.792734,3,189.172949
5.399082,7,190.068523
3.476739,4,190.578545
18.383766,24,193.651093
3.460266,4,194.163752
5.439123,7,195.048007
5.862981,7,195.923332
4.687959,6,196.664075
10.72761,14,198.418336
5.372939,7,199.300611
6.694679,9,200.422034
2.772734,3,200.80397
4.088715,5,201.444974
2.836955,3,201.824957
11.192614,14,203.609217
2.143861,2,203.870512
7.334208,9,205.008806
4.198921,5,205.637778
2.1194,2,205.895106
3.550249,4,206.400937
3.637311,4,206.916232
4.283583,5,207.539259
10.294826,13,209.140648
7.88686,10,210.39844
9.879927,13,212.126291
10.390224,13,213.786451
4.696848,6,214.54222
6.260917,8,215.554619
3.512131,4,216.059688
14.244271,19,218.458425
8.620197,11,219.834601
9.142432,12,221.364014
12.142294,16,223.410842
2.072837,2,223.663414
10.562036,14,225.420784
26.365038,36,229.867097
10.225266,14,231.599517
11.761231,15,233.477272
5.163974,6,234.227393
5.988722,7,235.108037
7.408443,10,236.349062
7.299292,9,237.447389
6.718969,8,238.444308
5.056127,6,239.196539
2.785576,3,239.573741
6.909019,9,240.704654
7.39884,10,241.948298
6.743569,8,242.972983
5.652517,7,243.861591
6.251562,8,244.865033
8.054627,11,246.22697
7.034268,9,247.340599
5.556025,7,248.210683
9.098208,11,249.592263
3.731629,4,250.102311
4.907625,6,250.86114
3.367959,4,251.368851
4.178003,5,251.987069
21.418398,29,255.66291
2.772734,3,256.041863
7.174347,9,257.169159
5.63685,7,258.173495
4.175228,5,258.810269
6.572684,8,259.831778
9.063384,11,261.230781
9.350296,12,262.749599
6.767944,8,263.747144
5.73218,7,264.623673
6.937363,9,265.747
7.466827,9,266.886004
12.207712,16,268.902784
7.173815,9,270.053991
6.713337,8,271.072613
10.526428,13,272.706309
6.901393,9,273.830495
17.237423,24,276.850406
10.774301,14,278.591826
4.019872,5,279.206111
27.69001,40,284.108823
5.152292,6,284.895215
8.832712,12,286.430795
8.823102,11,287.875274
13.674032,18,290.224989
11.593535,16,292.247821
4.121181,5,292.88176
3.396626,4,293.390456
18.673486,24,296.401528
4.712938,6,297.166999
2.737113,3,297.556972
8.034626,11,299.018672
10.994606,15,300.921534
5.966459,7,301.834868
14.846367,20,304.371418
3.366227,4,304.868635
6.789489,8,305.898002
6.052449,8,306.891371
26.798652,37,311.533021
4.742705,6,312.329744
3.518851,4,312.840974
4.80544,6,313.603449
4.899329,6,314.357666
8.02579,11,315.75676
2.791149,3,316.136698
3.363258,4,316.637439
4.299136,5,317.281208
11.837162,16,319.314831
2.833108,3,319.698516
6.724067,8,320.715835
5.837458,7,321.58551
19.664516,27,324.942857
3.476136,4,325.458171
4.194686,5,326.100802
2.77891,3,326.481023
4.441856,5,327.118082
3.587793,4,327.614085
10.070234,14,329.342777
6.282665,8,330.348164
4.832076,6,331.09591
5.388013,7,331.967662
6.09456,8,332.955638
11.102428,14,334.702939
10.041112,13,336.341045
2.109724,2,336.598541
10.53534,13,338.289352
6.850557,9,339.414419
9.04465,11,340.834238
17.993298,24,343.85207
3.67773,4,344.364074
3.636757,4,344.864522
7.976839,10,346.14956
25.337895,34,350.467898
2.788294,3,350.846568
5.439123,7,351.704598
12.402913,17,353.818608
5.878985,7,354.690805
9.808272,13,356.328308
5.192959,6,357.07225
6.299077,8,358.066193
4.259175,5,358.689793
6.23131,8,359.701301
7.913921,10,360.995662
9.391923,13,362.603266
2.788889,3,362.982451
6.604715,8,363.969314
11.573862,15,365.820558
9.55344,12,367.314165
5.230901,6,368.073972
4.314903,5,368.703596
3.553067,4,369.205423
